pasaporte_comprador,nombre_comprador,nacionalidad_comprador,fecha_nacimiento_comprador
v03976673,mark greene,chilena,1998-12-09
n07672370,kevin wilson,uruguaya,1986-09-11
i19062847,christopher garcia,chilena,1986-12-06
l56496275,cheryl bolton,uruguaya,1972-12-16
x66304032,victoria odom,francesa,1986-12-04
x84322989,mr. russell abbott,chilena,1984-11-16
g15489494,anthony francis,argentina,1988-02-13
l87663260,heather bolton,estadounidense,1982-09-17
w06120402,adam clark,estadounidense,1993-06-10
j34719947,heather scott,estadounidense,1973-05-02
m25657749,casey bennett,estadounidense,1984-03-12
c87025090,diana frank,alemana,1979-12-07
v79731274,corey elliott,venezolana,1979-10-04
e44895667,angela reynolds,estadounidense,1982-08-09
n49905893,emma scott,chilena,1989-07-29
r17782317,zachary davenport,venezolana,1971-12-29
p11550487,maria perez,francesa,1996-08-11
g04408945,robert butler,argentina,1974-02-02
j86333952,leslie howard,venezolana,1971-09-22
x49704522,james rojas,chilena,1986-05-29
d84069297,brittany jones,uruguaya,1978-04-30
v39868007,cassandra kirby,chilena,1997-04-02
y33413387,kimberly hansen,argentina,1989-07-02
o04335063,jonathan sims,estadounidense,1974-04-13
d64763364,james johnson,chilena,1994-06-09
z09262256,joseph wilson,uruguaya,1993-07-28
j46610530,andrew torres,alemana,1981-12-01
y23187711,vicki ward,argentina,1981-08-31
i63697476,emily sullivan,venezolana,1991-07-25
f69466449,jennifer eaton,chilena,1995-08-29
j33947155,amanda mccarthy,venezolana,1995-08-25
h44001820,ann robertson,venezolana,1998-04-27
d76513142,victoria brennan,uruguaya,1977-06-19
y05451726,kathleen johnson,chilena,1973-02-24
d46250570,michael mcdaniel,venezolana,1994-11-04
q62966391,patricia parker,mexicana,1994-08-07
n68461604,gary vasquez,chilena,1984-11-21
l97895867,sarah williams,uruguaya,1992-11-06
y88079794,gregory bradley,chilena,1986-04-18
n47846939,john lee,italiana,1996-01-25
t18212951,joel compton,argentina,1991-03-03
a40223024,janice smith,argentina,1993-03-25
n24258653,kayla douglas,uruguaya,1970-04-28
p34583903,kelsey huff,estadounidense,1972-08-08
n15841852,john mcneil,chilena,1981-06-15
f23633774,amanda ruiz,francesa,1977-07-09
t72132858,kathy luna,chilena,1990-07-13
l94336722,julia watkins,uruguaya,1995-08-25
z87364523,samantha martin,alemana,1981-03-26
f09235820,katrina frye,chilena,1995-10-11
o01507856,james hunter,chilena,1995-05-14
j76795477,mikayla white,argentina,1984-09-30
j39937043,danielle johnson,mexicana,1981-12-18
f15206543,kristen harris,chilena,1972-11-25
h23592194,ethan gilbert,uruguaya,1975-12-30
u37349664,diane ritter,venezolana,1996-05-05
j47009281,susan stewart md,estadounidense,1997-02-08
b30315997,tina shaw,estadounidense,1996-10-26
c59429415,brian garcia,chilena,1992-04-20
f89276118,todd wilkins,italiana,1991-01-30
k07643594,suzanne goodman,chilena,1987-11-16
c63211080,brian mitchell,chilena,1983-05-04
p84627985,meghan davis,chilena,1970-11-15
u68917595,paul brown,francesa,1987-08-24
g69357980,jerry park,argentina,1980-06-28
t33834498,alejandro allen,chilena,1992-05-20
s05106445,gregory andrade,mexicana,1984-12-20
t59160871,lucas jones,uruguaya,1992-03-02
w23173820,gabrielle alvarez,argentina,1992-11-04
o85238546,sheri mcdonald,argentina,1984-03-14
r56995721,david keller,venezolana,1975-07-24
d39176940,patrick choi,chilena,1985-06-26
i71394677,jessica macias,chilena,1986-04-12
i78807927,robert kelly,chilena,1975-02-26
g96421276,alexander martin,estadounidense,1980-04-24
y13424296,katherine perez,mexicana,1978-07-29
d99418548,alexis smith,argentina,1997-03-21
s03830222,amanda andrade,italiana,1993-11-06
j46009647,erica ochoa,italiana,1994-03-11
i71542181,alfred martin jr.,chilena,1989-11-10
a17367163,jane berger,italiana,1987-05-29
f70729457,justin hudson,chilena,1994-02-12
o41678476,andrew malone,argentina,1996-06-24
r10584802,john luna,chilena,1983-11-04
n55362278,laura marshall,chilena,1991-05-19
