trabajador_id,pasaporte,nombre,fecha_nacimiento,rol,licencia_actual_id
8,j22810925,jason edwards,1975-02-09,copiloto,45.0
15,s26547035,matthew walsh,1993-09-20,copiloto,12.0
59,a85793465,jacob duran,1988-02-25,copiloto,17.0
25,e10934506,danny pratt,1998-10-31,copiloto,36.0
25,e10934506,danny pratt,1998-10-31,copiloto,47.0
0,l89163667,jessica harvey,1996-04-08,copiloto,37.0
8,j22810925,jason edwards,1975-02-09,copiloto,15.0
37,o98651462,joe cabrera,1994-08-13,copiloto,25.0
17,i74549867,laura ward,1981-01-23,copiloto,28.0
23,v51246373,latasha nelson,1986-05-09,copiloto,49.0
10,a35692355,alex deleon,1979-10-03,copiloto,11.0
59,a85793465,jacob duran,1988-02-25,copiloto,48.0
15,s26547035,matthew walsh,1993-09-20,copiloto,46.0
31,l01109034,linda warren,1975-03-13,copiloto,50.0
21,h50641909,kimberly brown,1999-09-02,copiloto,51.0
34,c02131672,ronald monroe,1984-09-12,copiloto,41.0
38,o88716397,gabriel palmer,1981-08-18,copiloto,40.0
41,g16561693,jeffrey roberts,1971-12-02,copiloto,19.0
7,q46419538,curtis gutierrez,1974-03-14,copiloto,7.0
21,h50641909,kimberly brown,1999-09-02,copiloto,22.0
24,b96464671,eric phelps,1994-10-01,copiloto,35.0
9,f40422038,john ross,1979-03-16,copiloto,29.0
38,o88716397,gabriel palmer,1981-08-18,copiloto,31.0
34,c02131672,ronald monroe,1984-09-12,copiloto,2.0
54,q49180524,gene obrien,1999-07-02,copiloto,0.0
